state_name,state_code,county_name,county_code,year,value
KENTUCKY,21,BUTLER,31,2022,3581000
KANSAS,20,NORTON,137,2022,3607000
MINNESOTA,27,FREEBORN,47,2022,38915000
TENNESSEE,47,HENRY,79,2022,4138000
IOWA,19,FREMONT,71,2022,21344000
IOWA,19,FRANKLIN,69,2022,41049000
ILLINOIS,17,GALLATIN,59,2022,9811000
KANSAS,20,MEADE,119,2022,13684000
INDIANA,18,KNOX,83,2022,19513000
PENNSYLVANIA,42,CLARION,31,2022,1196000
NEBRASKA,31,HALL,79,2022,31919000
INDIANA,18,BENTON,7,2022,24865000
KANSAS,20,CLAY,27,2022,7752000
INDIANA,18,RUSH,139,2022,20029000
SOUTH DAKOTA,46,BRULE,15,2022,6685000
KANSAS,20,SEDGWICK,173,2022,6764000
SOUTH CAROLINA,45,WILLIAMSBURG,89,2022,1253000
INDIANA,18,PUTNAM,133,2022,12295000
IDAHO,16,GOODING,47,2022,1890000
SOUTH DAKOTA,46,BROWN,13,2022,37432000
IOWA,19,MILLS,129,2022,18193000
MINNESOTA,27,WASECA,161,2022,24048000
IOWA,19,AUDUBON,9,2022,21294000
PENNSYLVANIA,42,PERRY,99,2022,1277000
NEBRASKA,31,SHERMAN,163,2022,12859000
IOWA,19,APPANOOSE,7,2022,4149000
IOWA,19,WEBSTER,187,2022,38849000
ILLINOIS,17,MONROE,133,2022,7781000
KENTUCKY,21,OHIO,183,2022,5731000
KANSAS,20,STEVENS,189,2022,17729000
IOWA,19,HUMBOLDT,91,2022,24750000
ILLINOIS,17,WARREN,187,2022,30399000
KANSAS,20,COFFEY,31,2022,2283000
IOWA,19,FREMONT,71,2021,23274000
WISCONSIN,55,GREEN LAKE,47,2021,7689000
MICHIGAN,26,MUSKEGON,121,2021,1706000
IOWA,19,DUBUQUE,61,2021,28562000
ARKANSAS,5,PRAIRIE,117,2021,4857000
MICHIGAN,26,OTTAWA,139,2021,5014000
MINNESOTA,27,REDWOOD,127,2021,40592000
MARYLAND,24,TALBOT,41,2021,5438000
VIRGINIA,51,KING AND QUEEN,97,2020,1643000
NORTH DAKOTA,38,CASS,17,2021,49240000
IOWA,19,MONTGOMERY,137,2021,18543000
VIRGINIA,51,KING WILLIAM,101,2020,1622000
ILLINOIS,17,KENDALL,93,2020,12459000
MISSISSIPPI,28,SHARKEY,125,2020,3223000
INDIANA,18,RUSH,139,2021,20509000
ARKANSAS,5,INDEPENDENCE,63,2020,1453000
NORTH DAKOTA,38,BARNES,3,2021,23513000
ILLINOIS,17,DE WITT,39,2021,20711000
MISSOURI,29,ATCHISON,5,2021,26904000
WISCONSIN,55,JUNEAU,57,2021,5389000
MISSOURI,29,BATES,13,2020,11376000
IOWA,19,WOODBURY,193,2020,37780000
IOWA,19,EMMET,63,2020,21160000
IOWA,19,JOHNSON,103,2020,16245000
PENNSYLVANIA,42,LEBANON,75,2020,5768000
ILLINOIS,17,ST CLAIR,163,2020,15180000
INDIANA,18,MARTIN,101,2020,3469000
MINNESOTA,27,WILKIN,167,2021,20321000
WISCONSIN,55,TAYLOR,119,2020,3643000
MINNESOTA,27,DOUGLAS,41,2020,11912000
IOWA,19,FREMONT,71,2020,22207000
OHIO,39,MONTGOMERY,113,2020,5928000
INDIANA,18,WELLS,179,2020,14326000
MISSISSIPPI,28,PANOLA,107,2021,2797000
OHIO,39,WOOD,173,2020,15305000
SOUTH DAKOTA,46,GRANT,51,2020,17404000
WISCONSIN,55,DOOR,29,2021,3168000
KENTUCKY,21,GRAVES,83,2020,12830000
MINNESOTA,27,LAC QUI PARLE,73,2020,32139000
MISSOURI,29,MERCER,129,2020,3124000
MINNESOTA,27,TRAVERSE,155,2020,22810000
VIRGINIA,51,NORTHUMBERLAND,133,2020,1632000
SOUTH CAROLINA,45,WILLIAMSBURG,89,2020,2407000
ILLINOIS,17,CUMBERLAND,35,2020,11372000
NORTH CAROLINA,37,CURRITUCK,53,2020,1577000
NORTH DAKOTA,38,SARGENT,81,2020,14776000
MINNESOTA,27,DOUGLAS,41,2021,10556000
OHIO,39,ASHTABULA,7,2021,3216000
PENNSYLVANIA,42,BEDFORD,9,2021,3114000
WISCONSIN,55,WINNEBAGO,139,2020,5441000
NEW YORK,36,CHAUTAUQUA,13,2021,2333000
ILLINOIS,17,ROCK ISLAND,161,2020,12986000
MISSOURI,29,MISSISSIPPI,133,2020,8229000
NEBRASKA,31,KEITH,101,2021,14925000
NEBRASKA,31,VALLEY,175,2020,13662000
COLORADO,8,KIT CARSON,63,2020,16264000
PENNSYLVANIA,42,LANCASTER,71,2021,14480000
SOUTH CAROLINA,45,DILLON,33,2020,3191000
MARYLAND,24,DORCHESTER,19,2021,4893000
OHIO,39,HIGHLAND,71,2020,6624000
KANSAS,20,CLOUD,29,2021,7925000
IOWA,19,MAHASKA,123,2020,24444000
INDIANA,18,BOONE,11,2020,20082000
ALABAMA,1,DE KALB,49,2020,2183000
IDAHO,16,GOODING,47,2020,2955000
NEW YORK,36,ONONDAGA,67,2020,2888000
SOUTH CAROLINA,45,CLARENDON,27,2020,5760000
IOWA,19,SAC,161,2020,25132000
MINNESOTA,27,BROWN,15,2020,31635000
TEXAS,48,HIDALGO,215,2021,2054000
ILLINOIS,17,UNION,181,2021,1883000
MISSOURI,29,BUTLER,23,2021,5763000
ILLINOIS,17,PIKE,149,2020,28768000
MICHIGAN,26,BRANCH,23,2020,12280000
NEBRASKA,31,SEWARD,159,2020,27107000
NEBRASKA,31,WHEELER,183,2020,7228000
OHIO,39,DELAWARE,41,2020,5470000
MISSOURI,29,RAY,177,2020,7445000
MINNESOTA,27,MARTIN,91,2021,39852000
DELAWARE,10,KENT,1,2020,9075000
INDIANA,18,JACKSON,71,2020,10049000
ILLINOIS,17,CARROLL,15,2020,26215000
NEBRASKA,31,BUTLER,23,2022,24886000
NEW YORK,36,GENESEE,37,2022,3399000
MINNESOTA,27,WASHINGTON,163,2022,2749000
SOUTH DAKOTA,46,FAULK,49,2022,17231000
NEW YORK,36,WYOMING,121,2022,4580000
MINNESOTA,27,WILKIN,167,2022,18483000
INDIANA,18,MARSHALL,99,2022,16204000
SOUTH DAKOTA,46,EDMUNDS,45,2022,18888000
INDIANA,18,SCOTT,143,2022,2483000
KANSAS,20,LINN,107,2022,1241000
VIRGINIA,51,SUSSEX,183,2022,1030000
MINNESOTA,27,WADENA,159,2022,2814000
SOUTH DAKOTA,46,DEUEL,39,2022,12681000
OHIO,39,HURON,77,2022,9319000
INDIANA,18,PORTER,127,2022,10069000
IOWA,19,POWESHIEK,157,2022,26501000
NEW YORK,36,MONROE,55,2022,3784000
ILLINOIS,17,ROCK ISLAND,161,2022,14685000
IOWA,19,HARRISON,85,2022,29791000
ARKANSAS,5,JACKSON,67,2022,2751000
KENTUCKY,21,DAVIESS,59,2022,10785000
OKLAHOMA,40,TEXAS,139,2022,13041000
LOUISIANA,22,MADISON,65,2022,6705000
NEW YORK,36,SENECA,99,2022,2178000
KENTUCKY,21,MONROE,171,2022,1487000
INDIANA,18,HENDRICKS,63,2022,12027000
PENNSYLVANIA,42,BRADFORD,15,2022,2048000
GEORGIA,13,BAKER,7,2022,1838000
VIRGINIA,51,KING AND QUEEN,97,2022,1894000
OHIO,39,LICKING,89,2022,8949000
NORTH DAKOTA,38,PEMBINA,67,2022,2203000
KANSAS,20,EDWARDS,47,2022,9745000
MISSOURI,29,BATES,13,2022,8174000
MISSOURI,29,LINN,115,2022,5724000
MISSISSIPPI,28,COAHOMA,27,2022,5015000
PENNSYLVANIA,42,ERIE,49,2022,2763000
TENNESSEE,47,LAKE,95,2022,1037000
PENNSYLVANIA,42,JEFFERSON,65,2022,1046000
SOUTH DAKOTA,46,CLAY,27,2022,11357000
PENNSYLVANIA,42,BEDFORD,9,2022,3230000
ILLINOIS,17,FORD,53,2022,30015000
NEBRASKA,31,PHELPS,137,2022,38276000
